IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
116231,The Bandit,1996,,http://www.imdb.com/title/tt0116231/,,,,,,Eskiya.1996.1080p.WEBDL.x264.AC3.mkv
116282,Fargo,1996,8.1,http://www.imdb.com/title/tt0116282/,3,3,93,98,Fargo,Fargo.1996.REMASTERED.BluRay.720p.H264.mp4
120338,Titanic,1997,7.7,http://www.imdb.com/title/tt0120338/,3,3,69,194,Titanic,Titanic.1997.BluRay.720p.H264.mp4
118849,Children of Heaven,1997,,http://www.imdb.com/title/tt0118849/,,,,,,Children.of.Heaven.1997.720p.mkv
119217,Good Will Hunting,1997,8.3,http://www.imdb.com/title/tt0119217/,0,3,94,126,Good Will Hunting,Good.Will.Hunting.1997.BluRay.720p.H264.mp4
118799,Life Is Beautiful,1997,8.6,http://www.imdb.com/title/tt0118799/,0,4,96,116,Life Is Beautiful,La.Vita.e.Bella-Life.Is.Beautiful.1997.BluRay.480p.H264.mp4
119488,L A Confidential,1997,8.3,http://www.imdb.com/title/tt0119488/,1,3,94,138,L.A. Confidential,L.A.Confidential.1997.DVDRip.x264-DJ.mkv
120783,The Parent Trap 98,1998,6.5,http://www.imdb.com/title/tt0120783/,3,3,69,128,The Parent Trap,The.Parent.Trap.1998.WEB-DL.720p.H264.mp4
120382,The Truman Show,1998,8,http://www.imdb.com/title/tt0120382/,1,3,88,103,The Truman Show,The.Truman.Show.1998.BluRay.720p.H264.mp4
120586,American History X,1998,8.5,http://www.imdb.com/title/tt0120586/,2,4,96,119,American History X,American.History.X.1998.720p.BluRay.x264.mkv
120815,Saving Private Ryan,1998,8.6,http://www.imdb.com/title/tt0120815/,0,4,95,169,Saving Private Ryan,Saving.Private.Ryan.1998.BluRay.720p.H264.mp4
137523,Fight Club,1999,8.8,http://www.imdb.com/title/tt0137523/,1,4,96,139,Fight Club,Fight.Club.1999.10th.Ann.Edt.BluRay.720p.H264.mp4
120616,The Mummy,1999,7,http://www.imdb.com/title/tt0120616/,1,3,75,124,The Mummy,The.Mummy.1999.BluRay.720p.H264.mp4
172493,Girl Interrupted,1999,7.3,http://www.imdb.com/title/tt0172493/,3,3,84,127,"Girl, Interrupted",Girl.Interrupted.1999.WEB-DL.720p.H264.mp4
133093,The Matrix,1999,8.7,http://www.imdb.com/title/tt0133093/,3,3,85,136,The Matrix,The.Matrix.1999.BluRay.480p.H264.mp4
151804,Office Space,1999,7.8,http://www.imdb.com/title/tt0151804/,1,4,93,89,Office Space,Office Space 1999 720p BRRip AC3 x264 MacGuffin.mkv
120689,The Green Mile,1999,8.5,http://www.imdb.com/title/tt0120689/,1,4,94,189,The Green Mile,The.Green.Mile.1999.BluRay.720p.H264.mp4
169547,American Beauty,1999,8.4,http://www.imdb.com/title/tt0169547/,3,3,93,122,American Beauty,American Beauty 1999 BRRip XvidHD 720p-NPW.avi
172495,Gladiator,2000,8.5,http://www.imdb.com/title/tt0172495/,0,3,87,155,Gladiator,Gladiator.2000.BDRip.x264-DJ.mkv
180093,Requiem For A Dream,2000,8.4,http://www.imdb.com/title/tt0180093/,3,4,93,102,Requiem for a Dream,Requiem.For.A.Dream.2000.720p.BluRay.x264.mkv
208092,Snatch,2000,8.3,http://www.imdb.com/title/tt0208092/,0,4,93,102,Snatch,Snatch.2000.720p.BluRay.DTS.x264.mkv
162222,Cast Away,2000,7.8,http://www.imdb.com/title/tt0162222/,1,3,83,143,Cast Away,Cast.Away.2000.BDRip.x264-DJ.mkv
209144,Memento,2000,8.5,http://www.imdb.com/title/tt0209144/,1,4,94,113,Memento,Memento.2000.DVDRip.x264-DJ.mkv
204946,Bring It On,2000,5.9,http://www.imdb.com/title/tt0204946/,3,3,66,98,Bring It On,Bring.It.On.2000.HDTV.720p.H264.mp4
196229,Zoolander,2001,6.6,http://www.imdb.com/title/tt0196229/,3,3,80,90,Zoolander,Zoolander.2001.BluRay.720p.H264.mp4
250494,Legally Blonde,2001,6.2,http://www.imdb.com/title/tt0250494/,3,3,52,96,Legally Blonde,Legally.Blonde.2001.BluRay.720p.H264.mp4
247745,Super Troopers,2001,7.1,http://www.imdb.com/title/tt0247745/,1,3,90,100,Super Troopers,Super_Troopers.avi
247638,The Princess Diaries,2001,6.3,http://www.imdb.com/title/tt0247638/,3,3,68,111,The Princess Diaries,The.Princess.Diaries.2001.BluRay.720p.H264.mp4
265666,The Royal Tenenbaums,2001,7.6,http://www.imdb.com/title/tt0265666/,3,3,89,110,The Royal Tenenbaums,The.Royal.Tenenbaums.2001.HDTV.720p.H264.mp4
120737,The Lord of the Rings The Fellowship of the Ring,2001,8.8,http://www.imdb.com/title/tt0120737/,1,4,95,178,The Lord of the Rings: The Fellowship of the Ring,The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.BDRip.x264-DJ.mkv
209163,The Mummy 2 Returns,2001,6.3,http://www.imdb.com/title/tt0209163/,3,3,63,130,The Mummy Returns,The.Mummy.2.Returns.2001.BluRay.720p.H264.mp4
259711,Vanilla Sky,2001,6.9,http://www.imdb.com/title/tt0259711/,1,3,72,136,Vanilla Sky,Vanilla.Sky.2001.BluRay.720p.H264.mp4
289043,28 Days Later,2002,7.6,http://www.imdb.com/title/tt0289043/,3,3,85,113,28 Days Later...,28.Days.Later.2002.BDRip.x264-DJ.mkv
293662,The Transporter,2002,6.8,http://www.imdb.com/title/tt0293662/,0,3,74,92,The Transporter,The.Transporter.2002.BluRay.720p.H264.mp4
253474,The Pianist,2002,8.5,http://www.imdb.com/title/tt0253474/,1,4,95,150,The Pianist,The.Pianist.2002.720p.BluRay.DTS.x264.mkv
167261,The Lord of the Rings The Two Towers,2002,8.8,http://www.imdb.com/title/tt0167261/,1,4,95,179,The Lord of the Rings: The Two Towers,The.Lord.of.the.Rings.The.Two.Towers.2002.BDRip.x264-DJ.mkv
